SP_ENTITY_NAME,SP_ENTITY_ID,RD_CREDIT_RATING_GLOBAL,RD_CREDIT_RATING_GLOBAL.1,SP_TICKER,SP_EXCHANGE,SP_ISIN,SP_GEOGRAPHY,SP_COUNTRY_NAME,SP_COUNTRY_CODE,IQ_INDUSTRY_GROUP
3M Company (NYSE:MMM),105135,BBB+,BBB+,MMM,NYSE,US88579Y1010,United States and Canada,USA,US,Capital Goods
AAR Corp. (NYSE:AIR),4157610,BB+,BB+,AIR,NYSE,US0003611052,United States and Canada,USA,US,Capital Goods
Abbott Laboratories (NYSE:ABT),4004092,AA-,AA-,ABT,NYSE,US0028241000,United States and Canada,USA,US,Health Care Equipment and Services
AbbVie Inc. (NYSE:ABBV),4558282,A-,A-,ABBV,NYSE,US00287Y1091,United States and Canada,USA,US,"Pharmaceuticals, Biotechnology and Life Sciences"
Abercrombie & Fitch Co. (NYSE:ANF),4066681,BB-,BB-,ANF,NYSE,US0028962076,United States and Canada,USA,US,Consumer Discretionary Distribution and Retail
"Academy Sports and Outdoors, Inc. (NASDAQGS:ASO)",5223225,BB,BB,ASO,NASDAQGS,US00402L1070,United States and Canada,USA,US,Consumer Discretionary Distribution and Retail
"Acadia Healthcare Company, Inc. (NASDAQGS:ACHC)",4811530,BB-,BB-,ACHC,NASDAQGS,US00404A1097,United States and Canada,USA,US,Health Care Equipment and Services
ACCO Brands Corporation (NYSE:ACCO),4828634,BB-,BB-,ACCO,NYSE,US00081T1088,United States and Canada,USA,US,Commercial and Professional Services
"ACI Worldwide, Inc. (NASDAQGS:ACIW)",4097321,BB,BB,ACIW,NASDAQGS,US0044981019,United States and Canada,USA,US,Software and Services
"Acuity Brands, Inc. (NYSE:AYI)",4991217,BBB,BBB,AYI,NYSE,US00508Y1029,United States and Canada,USA,US,Capital Goods
Acushnet Holdings Corp. (NYSE:GOLF),4912136,BB,BB,GOLF,NYSE,US0050981085,United States and Canada,USA,US,Consumer Durables and Apparel
AdaptHealth Corp. (NASDAQCM:AHCO),15907646,B+,B+,AHCO,NASDAQCM,US00653Q1022,United States and Canada,USA,US,Health Care Equipment and Services
Adeia Inc. (NASDAQGS:ADEA),4968288,BB-,BB-,ADEA,NASDAQGS,US00676P1075,United States and Canada,USA,US,Software and Services
